LatitudeFrom,LatitudeTo,Heading,LongitudeFrom,LongitudeTo,Elevation,BeginChainage,EndChainage,AlligCracksSmall,AlligCracksMed,AlligCracksLarge,AlligCracksAvgWidth,AlligCracksMinWidth,AlligCracksMaxWidth,AlligCracksMinDepth,AlligCracksMaxDepth,CracksLongitudinalSmall,CracksLongitudinalMed,CracksLongitudinalAvgWidth,CracksLongitudinalLarge,CracksLongitudinalSealed,CracksLongitudinalMinWidth,CracksLongitudinalMaxWidth,CracksLongitudinalMinDepth,CracksLongitudinalMaxDepth,CracksTransverseSmall,CracksTransverseMed,CracksTransverseAvgWidth,CracksTransverseLarge,CracksTransverseSealed,CracksTransverseMinWidth,CracksTransverseMaxWidth,CracksTransverseMinDepth,CracksTransverseMaxDepth,PotholeMaxDepthHigh,PotholeMaxDepthLow,PotholeMaxDepthMed,PotholeMaxDepthDelamination,PotholeAreaAffectedLow,PotholeAreaAffectedMed,PotholeAreaAffectedHigh,PotholeAreaAffectedDelam
55.656284,55.65631,1.3104185,12.5478115,12.547947,41.154366,3989.14,3999.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.65631,55.656338,1.2847055,12.547964,12.5481,41.03583,3999.14,4009.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.656338,55.656364,1.2637137,12.548119,12.548254,41.036427,4009.14,4019.14,,,,,,,,,,0.046669018,7.3137226,,,7.3137226,7.3137226,0.0,0.0,,,32.637383,0.43323714,,32.637383,32.637383,0.0,0.0,,,,,,,,
55.656364,55.65639,1.2641947,12.548271,12.548406,40.993526,4019.14,4029.14,,,,,,,,,0.3796208,,34.926445,,0.37703866,4.7927613,60.170242,0.0,0.8664463,,0.06361552,6.0329247,,,6.0329247,6.0329247,1.1864859,1.1864859,,,,,,,,
55.65639,55.656418,1.2584268,12.548423,12.548557,40.983852,4029.14,4039.14,,,,,,,,,0.7121633,1.0723749,23.057543,,2.0127478,4.633078,62.7038,0.0,0.9091435,0.45542812,,4.5692353,,,4.5692353,4.5692353,0.87112916,0.87112916,,,,,,,,
55.656418,55.656445,1.2558488,12.548574,12.54871,41.035454,4039.14,4049.14,,,,,,,,,0.27166444,,4.633078,,,4.633078,4.633078,0.8503861,0.8503861,,,,,,,,,,,,,,,,,
55.656445,55.656467,1.2733761,12.548728,12.548865,41.152,4049.14,4059.14,,,,,,,,,0.28446624,,59.29432,0.21693932,0.730747,3.8896327,73.21125,0.0,0.84714055,,,,,,,,,,,,,,,,,
55.656467,55.65649,1.302395,12.5488825,12.549019,41.05837,4059.14,4069.14,,,,,,,,,,,,,,,,,,0.41948545,,20.823208,3.461512,,4.0006,37.645817,0.8348494,7.833549,,,,,,,,
55.65649,55.65651,1.3100337,12.549034,12.549175,41.30167,4069.14,4079.14,,,,,,,,,,,,,,,,,,,,38.45174,1.705875,,38.45174,38.45174,10.417799,10.417799,,,,,,,,
55.65651,55.656532,1.3125986,12.549191,12.54933,41.39126,4079.14,4089.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.656532,55.65655,1.3103343,12.549346,12.549485,41.41127,4089.14,4099.14,0.12852791,,,6.7386136,6.7386136,6.7386136,7.057597,7.057597,,0.4681289,9.4816675,,,9.4816675,9.4816675,2.4695625,2.4695625,,0.0781031,9.883329,,,9.883329,9.883329,2.9671454,2.9671454,,,,,,,,
55.65655,55.656574,1.3195611,12.549501,12.54964,41.436108,4099.14,4109.14,,,,,,,,,0.52840537,,3.9910448,,,3.9910448,3.9910448,0.82796615,0.82796615,,,,,,,,,,,,,,,,,
55.656574,55.656597,1.3191408,12.549656,12.549794,41.500885,4109.14,4119.14,,,,,,,,,0.06996549,,3.9910448,,,3.9910448,3.9910448,0.82796615,0.82796615,0.020584907,,37.824352,1.2392809,,4.7539353,38.22103,0.9057581,9.583453,,,,,,,,
55.656597,55.656616,1.320141,12.549809,12.549947,41.50676,4119.14,4129.14,,,,,,,,,,,,,,,,,,0.19697805,,3.915653,,,3.915653,3.915653,0.80258876,0.80258876,,,,,,,,
55.656616,55.65664,1.3234771,12.549964,12.550101,41.472637,4129.14,4139.14,,,,,,,,,0.34435454,2.3064125,23.609415,,0.8178686,4.446365,76.66121,0.0,2.326153,,,,,,,,,,,,,,,,,
55.656746,55.656765,1.3273628,12.550889,12.551026,41.495323,4189.14,4199.14,,,,,,,,,,,63.53504,,3.9731643,62.469208,64.06796,0.0,0.0,,,,,,,,,,,,,,,,,
55.656765,55.656788,1.327859,12.5510435,12.55118,41.50022,4199.14,4209.14,,,,,,,,,,,62.469208,,0.23240449,62.469208,62.469208,0.0,0.0,,,,,,,,,,,,,,,,,
55.656788,55.65681,1.3246168,12.551198,12.551332,41.49663,4209.14,4219.14,,,,,,,,,,,61.91505,,2.3698437,61.91505,61.91505,0.0,0.0,,,,,,,,,,,,,,,,,
55.65681,55.65683,1.3194394,12.55135,12.551487,41.505062,4219.14,4229.14,,,,,,,,,,,59.253654,0.5550333,4.5853314,40.302067,61.91505,0.0,0.0,,,,,,,,,,,,,,,,,
55.65683,55.656853,1.3222444,12.551505,12.551641,41.497272,4229.14,4239.14,,,,,,,,,,,54.988556,0.59285295,2.4233332,40.302067,69.1844,0.0,0.0,,,,,,,,,,,,,,,,,
55.656853,55.656876,1.3286201,12.551659,12.551798,41.52333,4239.14,4249.14,,,,,,,,,,,61.353058,0.21686879,0.89801675,35.687153,69.1844,0.0,0.0,,,,,,,,,,,,,,,,,
55.656876,55.656895,1.3277173,12.551816,12.551953,41.571518,4249.14,4259.14,,,,,,,,,,0.21309502,15.334786,,,15.334786,15.334786,14.059323,14.059323,0.17366402,,3.925816,,,3.925816,3.925816,2.1564538,2.1564538,,,,,,,,
