Distance[m]| Tid[s]| Latitude[dd.dddd]| Longitude[dd.dddd]| Højde[m]| Geoide_højde[m]| DOP| Satellitter| Fixtype| GPStid| Metode| Vcar[rad]
0.000000000| 33.150610000| 55.632880982| 12.655560822| 4.800000191| 38.200000763| 0.600000024| 18| 1| 160551.000000000| 0| -0.312716603
10.000000000| 34.758250000| 55.632954634| 12.655472433| 4.699999809| 38.200000763| 0.600000024| 18| 1| 160553.000000000| 0| -0.873281598
20.000000000| 36.242490000| 55.632993458| 12.655330429| 4.800000191| 38.200000763| 0.600000024| 18| 1| 160554.000000000| 0| -1.291492462
30.000000000| 37.513360000| 55.633015054| 12.655177984| 4.599999905| 38.200000763| 0.600000024| 18| 1| 160556.000000000| 0| -1.322005033
40.000000000| 38.647110000| 55.633038634| 12.655024651| 4.500000000| 38.200000763| 0.600000024| 18| 1| 160557.000000000| 0| -1.280545235
50.000000000| 39.701330000| 55.633065806| 12.654872497| 4.000000000| 38.200000763| 0.600000024| 18| 1| 160558.000000000| 0| -1.256129384
60.000000000| 40.741570000| 55.633094215| 12.654721595| 3.599999905| 38.200000763| 0.600000024| 18| 1| 160559.000000000| 0| -1.236422777
70.000000000| 41.787170000| 55.633123672| 12.654569879| 3.299999952| 38.200000763| 0.600000024| 18| 1| 160600.000000000| 0| -1.239637494
80.000000000| 42.840020000| 55.633153837| 12.654418844| 2.900000095| 38.200000763| 0.600000024| 18| 1| 160601.000000000| 0| -1.213702679
90.000000000| 43.911410000| 55.633189050| 12.654272689| 2.599999905| 38.200000763| 0.600000024| 18| 1| 160602.000000000| 0| -1.113113046
100.000000000| 45.008180000| 55.633233182| 12.654132070| 2.500000000| 38.200000763| 0.600000024| 18| 1| 160603.000000000| 0| -1.012612104
110.000000000| 46.111930000| 55.633284564| 12.653999907| 2.200000048| 38.200000763| 0.600000024| 18| 1| 160604.000000000| 0| -0.920229793
120.000000000| 47.229610000| 55.633341528| 12.653877902| 2.000000000| 38.200000763| 0.600000024| 18| 1| 160605.000000000| 0| -0.835586667
130.000000000| 48.359740000| 55.633404789| 12.653765652| 1.799999952| 38.200000763| 0.600000024| 18| 1| 160606.000000000| 0| -0.732864439
140.000000000| 49.491190000| 55.633474518| 12.653667520| 1.700000048| 38.200000763| 0.600000024| 18| 1| 160608.000000000| 0| -0.625756383
150.000000000| 50.668190000| 55.633549185| 12.653578979| 1.600000024| 38.200000763| 0.600000024| 18| 1| 160609.000000000| 0| -0.557356119
160.000000000| 51.911790000| 55.633627216| 12.653497951| 1.500000000| 38.200000763| 0.600000024| 18| 1| 160610.000000000| 0| -0.501212955
