Distance[m]| Tid[s]| Latitude[dd.dddd]| Longitude[dd.dddd]| Højde[m]| Geoide_højde[m]| DOP| Satellitter| Fixtype| GPStid| Metode| Vcar[rad]
0.000000000| 43.460310000| 55.671557056| 12.568011523| 8.300000191| 38.200000763| 0.699999988| 14| 2| 154053.000000000| 0| -0.481717855
10.000000000| 46.278320000| 55.671640892| 12.568009373| 8.199999809| 38.200000763| 0.699999988| 14| 2| 154055.000000000| 0| 0.538600922
20.000000000| 48.217640000| 55.671707085| 12.568130997| 8.399999619| 38.200000763| 0.699999988| 16| 2| 154057.000000000| 0| 0.955951989
30.000000000| 49.671160000| 55.671761653| 12.568262963| 8.300000191| 38.200000763| 0.699999988| 15| 2| 154059.000000000| 0| 0.944874227
40.000000000| 50.865360000| 55.671812707| 12.568396475| 8.300000191| 38.200000763| 0.699999988| 15| 2| 154100.000000000| 0| 1.004125357
50.000000000| 51.964270000| 55.671862277| 12.568534447| 8.300000191| 38.200000763| 0.699999988| 15| 2| 154101.000000000| 0| 0.998073339
60.000000000| 52.996630000| 55.671913967| 12.568670272| 8.199999809| 38.200000763| 0.699999988| 15| 2| 154102.000000000| 0| 0.968305707
70.000000000| 53.968380000| 55.671965195| 12.568804773| 8.199999809| 38.200000763| 0.699999988| 15| 2| 154103.000000000| 0| 0.973053753
80.000000000| 54.903610000| 55.672016354| 12.568937542| 8.100000381| 38.200000763| 0.699999988| 15| 2| 154104.000000000| 0| 0.972786605
90.000000000| 55.814620000| 55.672066575| 12.569071562| 7.900000095| 38.200000763| 0.699999988| 15| 2| 154105.000000000| 0| 0.994289935
100.000000000| 56.711270000| 55.672116426| 12.569206967| 7.699999809| 38.200000763| 0.699999988| 15| 2| 154106.000000000| 0| 0.987053096
110.000000000| 57.586040000| 55.672166104| 12.569340136| 7.599999905| 38.200000763| 0.699999988| 15| 2| 154107.000000000| 0| 0.990140676
120.000000000| 58.446410000| 55.672215199| 12.569472701| 7.400000095| 38.200000763| 0.699999988| 15| 2| 154108.000000000| 0| 0.982931077
130.000000000| 59.299350000| 55.672264925| 12.569606469| 7.400000095| 38.200000763| 0.699999988| 15| 2| 154108.000000000| 0| 0.990938246
140.000000000| 60.155450000| 55.672313448| 12.569740719| 7.300000191| 38.200000763| 0.699999988| 15| 2| 154109.000000000| 0| 0.998956501
