,speed_gm,times
0,36.98,1621497144.112
1,37.2,1621497144.128
2,36.94,1621497144.132
3,36.88,1621497144.152
4,36.82,1621497144.172
5,36.79,1621497144.192
6,36.74,1621497144.212
7,36.69,1621497144.232
8,36.65,1621497144.252
9,36.6,1621497144.272
10,36.56,1621497144.292
11,36.51,1621497144.312
12,36.44,1621497144.332
13,36.39,1621497144.352
14,36.35,1621497144.372
15,37.16,1621497144.374
16,36.29,1621497144.392
17,36.23,1621497144.412
18,36.19,1621497144.432
19,36.14,1621497144.452
20,36.08,1621497144.472
21,36.01,1621497144.492
22,35.93,1621497144.512
23,37.1,1621497144.528
24,35.85,1621497144.532
25,35.78,1621497144.552
26,35.7,1621497144.572
27,35.62,1621497144.592
28,35.53,1621497144.612
29,35.44,1621497144.632
30,35.36,1621497144.652
31,35.28,1621497144.672
32,35.17,1621497144.692
33,35.07,1621497144.712
34,34.95,1621497144.732
35,37.08,1621497144.737
36,34.86,1621497144.752
37,34.76,1621497144.772
38,34.64,1621497144.792
39,34.53,1621497144.812
40,34.42,1621497144.832
41,34.31,1621497144.852
42,34.19,1621497144.872
43,34.07,1621497144.892
44,33.93,1621497144.912
45,37.03,1621497144.925
46,33.83,1621497144.932
47,33.74,1621497144.952
48,33.61,1621497144.972
49,33.52,1621497144.992
50,32.73,1621497145.112
51,33.37,1621497145.124
52,32.61,1621497145.132
53,32.51,1621497145.152
54,32.39,1621497145.178
55,32.29,1621497145.192
56,32.17,1621497145.212
57,32.05,1621497145.232
58,31.92,1621497145.252
59,31.77,1621497145.272
60,31.63,1621497145.292
61,31.51,1621497145.312
62,33.23,1621497145.324
63,31.36,1621497145.332
64,31.28,1621497145.352
65,31.16,1621497145.372
66,31.04,1621497145.392
67,30.93,1621497145.412
68,30.78,1621497145.432
69,30.65,1621497145.452
70,30.51,1621497145.472
71,30.38,1621497145.492
72,30.26,1621497145.512
73,33.13,1621497145.5249999
74,30.16,1621497145.532
75,30.0,1621497145.552
76,29.93,1621497145.572
77,29.83,1621497145.592
78,29.67,1621497145.612
79,29.59,1621497145.632
80,29.44,1621497145.652
81,29.31,1621497145.672
82,29.19,1621497145.692
83,29.06,1621497145.712
84,32.97,1621497145.724
85,28.93,1621497145.732
86,28.82,1621497145.752
87,28.68,1621497145.772
88,28.55,1621497145.792
89,28.41,1621497145.812
90,28.28,1621497145.832
91,28.14,1621497145.852
92,28.02,1621497145.872
93,27.9,1621497145.892
94,27.79,1621497145.912
95,32.86,1621497145.924
96,27.68,1621497145.932
97,27.59,1621497145.952
98,27.48,1621497145.972
99,27.4,1621497145.992
100,26.95,1621497146.119
101,27.32,1621497146.125
102,26.92,1621497146.132
103,26.84,1621497146.152
104,26.78,1621497146.172
105,26.78,1621497146.192
106,26.7,1621497146.212
107,26.64,1621497146.232
108,26.6,1621497146.252
109,26.53,1621497146.272
110,26.46,1621497146.292
111,26.37,1621497146.312
112,27.22,1621497146.325
113,26.34,1621497146.332
114,26.29,1621497146.352
